"wave","productivity","role","prod_percent"
"baseline","About the same","Managers",0
"endline","About the same","Managers",0
"endline","15%-25% more efficient","Managers",20
"baseline","About the same","Managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","15%-25% more efficient","Managers",20
"baseline","About the same","Managers",0
"endline","15%-25% more efficient","Non-managers",20
"baseline","5%-15% more efficient","Non-managers",10
"baseline","About the same","Managers",0
"endline","5%-15% more efficient","Managers",10
"endline","5%-15% less efficient","Managers",-10
"baseline","15%-25% less efficient","Managers",-20
"baseline","5%-15% less efficient","Managers",-10
"endline","5%-15% less efficient","Managers",-10
"endline","5%-15% more efficient","Managers",10
"baseline","5%-15% more efficient","Managers",10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","5%-15% less efficient","Non-managers",-10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","5%-15% more efficient","Non-managers",10
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"endline","About the same","Managers",0
"baseline","15%-25% more efficient","Managers",20
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","15%-25% more efficient","Managers",20
"baseline","25%-35% more efficient","Managers",30.0000019073486
"endline","25%-35% more efficient","Non-managers",30.0000019073486
"baseline","15%-25% more efficient","Non-managers",20
"baseline","5%-15% less efficient","Non-managers",-10
"endline","5%-15% more efficient","Managers",10
"baseline","About the same","Managers",0
"endline","5%-15% less efficient","Non-managers",-10
"baseline","15%-25% less efficient","Non-managers",-20
"baseline","About the same","Non-managers",0
"endline","5%-15% more efficient","Non-managers",10
"baseline","About the same","Managers",0
"endline","About the same","Managers",0
"endline","35%+ more efficient","Non-managers",42.5
"baseline","5%-15% more efficient","Non-managers",10
"baseline","5%-15% more efficient","Managers",10
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","5%-15% more efficient","Managers",10
"endline","5%-15% more efficient","Managers",10
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","5%-15% less efficient","Non-managers",-10
"baseline","About the same","Non-managers",0
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"endline","15%-25% less efficient","Managers",-20
"baseline","15%-25% less efficient","Managers",-20
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Managers",0
"endline","About the same","Managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Managers",0
"endline","About the same","Managers",0
"endline","About the same","Non-managers",0
"baseline","15%-25% less efficient","Non-managers",-20
"baseline","About the same","Managers",0
"endline","About the same","Managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","5%-15% more efficient","Managers",10
"baseline","About the same","Managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","5%-15% less efficient","Non-managers",-10
"baseline","5%-15% less efficient","Non-managers",-10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","5%-15% more efficient","Non-managers",10
"endline","About the same","Non-managers",0
"endline","5%-15% less efficient","Non-managers",-10
"baseline","5%-15% less efficient","Non-managers",-10
"baseline","15%-25% more efficient","Non-managers",20
"baseline","15%-25% less efficient","Managers",-20
"baseline","About the same","Managers",0
"endline","About the same","Managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"endline","15%-25% less efficient","Non-managers",-20
"baseline","About the same","Non-managers",0
"endline","5%-15% more efficient","Managers",10
"baseline","5%-15% more efficient","Managers",10
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","15%-25% more efficient","Non-managers",20
"endline","25%-35% more efficient","Non-managers",30.0000019073486
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"baseline","5%-15% less efficient","Managers",-10
"endline","5%-15% less efficient","Managers",-10
"endline","15%-25% more efficient","Managers",20
"baseline","5%-15% more efficient","Managers",10
"baseline","5%-15% more efficient","Managers",10
"endline","About the same","Managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Managers",0
"endline","About the same","Managers",0
"baseline","5%-15% more efficient","Non-managers",10
"endline","5%-15% more efficient","Non-managers",10
"baseline","About the same","Non-managers",0
"baseline","5%-15% more efficient","Non-managers",10
"baseline","About the same","Non-managers",0
"endline","15%-25% more efficient","Non-managers",20
"endline","25%-35% less efficient","Non-managers",-30.0000019073486
"baseline","5%-15% less efficient","Non-managers",-10
"endline","15%-25% less efficient","Non-managers",-20
"baseline","About the same","Non-managers",0
"baseline","15%-25% more efficient","Non-managers",20
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","25%-35% more efficient","Managers",30.0000019073486
"baseline","15%-25% less efficient","Managers",-20
"endline","About the same","Non-managers",0
"baseline","5%-15% more efficient","Non-managers",10
"baseline","5%-15% more efficient","Non-managers",10
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"endline","About the same","Non-managers",0
"baseline","15%-25% less efficient","Non-managers",-20
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Managers",0
"baseline","5%-15% more efficient","Non-managers",10
"endline","About the same","Non-managers",0
"endline","15%-25% more efficient","Non-managers",20
"baseline","15%-25% more efficient","Non-managers",20
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","5%-15% more efficient","Non-managers",10
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","15%-25% more efficient","Non-managers",20
"endline","25%-35% more efficient","Non-managers",30.0000019073486
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"baseline","About the same","Managers",0
"baseline","5%-15% more efficient","Non-managers",10
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","15%-25% less efficient","Non-managers",-20
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Managers",0
"endline","About the same","Managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","5%-15% less efficient","Non-managers",-10
"baseline","15%-25% less efficient","Non-managers",-20
"endline","About the same","Non-managers",0
"baseline","5%-15% less efficient","Non-managers",-10
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"endline","15%-25% less efficient","Non-managers",-20
"baseline","25%-35% less efficient","Non-managers",-30.0000019073486
"baseline","5%-15% more efficient","Non-managers",10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","25%-35% more efficient","Non-managers",30.0000019073486
"baseline","25%-35% more efficient","Non-managers",30.0000019073486
"baseline","5%-15% less efficient","Non-managers",-10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","5%-15% less efficient","Non-managers",-10
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"endline","About the same","Managers",0
"baseline","5%-15% less efficient","Managers",-10
"baseline","About the same","Managers",0
"endline","About the same","Managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","35%+ less efficient","Managers",-42.5
"endline","About the same","Managers",0
"endline","5%-15% less efficient","Non-managers",-10
"baseline","5%-15% less efficient","Non-managers",-10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","5%-15% more efficient","Non-managers",10
"endline","25%-35% more efficient","Non-managers",30.0000019073486
"baseline","25%-35% more efficient","Non-managers",30.0000019073486
"baseline","35%+ less efficient","Non-managers",-42.5
"endline","25%-35% less efficient","Non-managers",-30.0000019073486
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","15%-25% less efficient","Non-managers",-20
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","5%-15% more efficient","Non-managers",10
"baseline","About the same","Non-managers",0
"endline","5%-15% more efficient","Non-managers",10
"baseline","5%-15% more efficient","Non-managers",10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","5%-15% more efficient","Non-managers",10
"baseline","5%-15% more efficient","Non-managers",10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","5%-15% more efficient","Non-managers",10
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","15%-25% more efficient","Non-managers",20
"endline","15%-25% more efficient","Non-managers",20
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","35%+ less efficient","Non-managers",-42.5
"baseline","35%+ less efficient","Non-managers",-42.5
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","5%-15% more efficient","Non-managers",10
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Managers",0
"baseline","5%-15% less efficient","Non-managers",-10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","5%-15% less efficient","Non-managers",-10
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","5%-15% more efficient","Non-managers",10
"baseline","About the same","Non-managers",0
"baseline","5%-15% more efficient","Non-managers",10
"endline","About the same","Non-managers",0
"baseline","5%-15% more efficient","Managers",10
"endline","5%-15% more efficient","Managers",10
"baseline","5%-15% more efficient","Non-managers",10
"endline","25%-35% more efficient","Non-managers",30.0000019073486
"baseline","About the same","Non-managers",0
"endline","5%-15% more efficient","Non-managers",10
"baseline","15%-25% more efficient","Non-managers",20
"endline","About the same","Non-managers",0
"baseline","15%-25% less efficient","Non-managers",-20
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","5%-15% more efficient","Non-managers",10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","5%-15% more efficient","Non-managers",10
"endline","5%-15% less efficient","Non-managers",-10
"baseline","15%-25% less efficient","Non-managers",-20
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","15%-25% less efficient","Managers",-20
"endline","About the same","Managers",0
"baseline","15%-25% more efficient","Non-managers",20
"endline","5%-15% more efficient","Non-managers",10
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","25%-35% less efficient","Non-managers",-30.0000019073486
"endline","5%-15% less efficient","Non-managers",-10
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","15%-25% less efficient","Non-managers",-20
"baseline","About the same","Non-managers",0
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","35%+ less efficient","Non-managers",-42.5
"endline","25%-35% less efficient","Non-managers",-30.0000019073486
"baseline","About the same","Managers",0
"endline","5%-15% less efficient","Managers",-10
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","35%+ more efficient","Managers",42.5
"baseline","35%+ more efficient","Managers",42.5
"endline","About the same","Non-managers",0
"baseline","5%-15% less efficient","Non-managers",-10
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"baseline","About the same","Managers",0
"endline","5%-15% more efficient","Managers",10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","5%-15% more efficient","Managers",10
"endline","About the same","Managers",0
"baseline","About the same","Non-managers",0
"endline","5%-15% more efficient","Non-managers",10
"baseline","About the same","Managers",0
"endline","5%-15% more efficient","Managers",10
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","35%+ more efficient","Non-managers",42.5
"endline","15%-25% more efficient","Non-managers",20
"baseline","5%-15% less efficient","Non-managers",-10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","35%+ more efficient","Managers",42.5
"baseline","35%+ more efficient","Managers",42.5
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","5%-15% less efficient","Non-managers",-10
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","5%-15% more efficient","Non-managers",10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","5%-15% more efficient","Non-managers",10
"endline","About the same","Non-managers",0
"endline","About the same","Managers",0
"baseline","15%-25% more efficient","Managers",20
"endline","About the same","Non-managers",0
"baseline","15%-25% less efficient","Non-managers",-20
"endline","5%-15% more efficient","Non-managers",10
"baseline","5%-15% more efficient","Non-managers",10
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","5%-15% less efficient","Managers",-10
"baseline","5%-15% less efficient","Managers",-10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Managers",0
"endline","About the same","Managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","15%-25% more efficient","Non-managers",20
"endline","15%-25% more efficient","Non-managers",20
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Managers",0
"endline","About the same","Managers",0
"baseline","5%-15% more efficient","Non-managers",10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","5%-15% more efficient","Non-managers",10
"endline","About the same","Managers",0
"endline","About the same","Managers",0
"endline","5%-15% less efficient","Managers",-10
"endline","About the same","Managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"baseline","About the same","Managers",0
"endline","About the same","Managers",0
"endline","About the same","Managers",0
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"endline","About the same","Managers",0
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"endline","About the same","Non-managers",0
"endline","5%-15% less efficient","Managers",-10
"endline","About the same","Managers",0
"endline","About the same","Managers",0
"baseline","5%-15% less efficient","Managers",-10
"endline","About the same","Non-managers",0
"baseline","5%-15% less efficient","Non-managers",-10
"endline","About the same","Non-managers",0
"endline","15%-25% less efficient","Non-managers",-20
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Managers",0
"baseline","15%-25% less efficient","Managers",-20
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","5%-15% less efficient","Managers",-10
"endline","About the same","Managers",0
"baseline","15%-25% more efficient","Non-managers",20
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","5%-15% more efficient","Non-managers",10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","5%-15% less efficient","Managers",-10
"endline","About the same","Managers",0
"endline","About the same","Non-managers",0
"baseline","5%-15% less efficient","Managers",-10
"baseline","15%-25% less efficient","Non-managers",-20
"endline","5%-15% more efficient","Non-managers",10
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Managers",0
"endline","About the same","Managers",0
"baseline","5%-15% less efficient","Managers",-10
"baseline","About the same","Managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Managers",0
"endline","5%-15% more efficient","Non-managers",10
"baseline","About the same","Non-managers",0
"endline","5%-15% less efficient","Managers",-10
"baseline","5%-15% less efficient","Managers",-10
"endline","About the same","Non-managers",0
"baseline","5%-15% less efficient","Managers",-10
"endline","About the same","Managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Managers",0
"endline","About the same","Managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","35%+ more efficient","Non-managers",42.5
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","5%-15% more efficient","Managers",10
"baseline","About the same","Managers",0
"baseline","About the same","Managers",0
"endline","About the same","Managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","5%-15% less efficient","Non-managers",-10
"baseline","35%+ less efficient","Managers",-42.5
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","25%-35% less efficient","Managers",-30.0000019073486
"baseline","About the same","Managers",0
"endline","About the same","Managers",0
"baseline","35%+ less efficient","Managers",-42.5
"endline","5%-15% less efficient","Managers",-10
"endline","About the same","Non-managers",0
"baseline","5%-15% more efficient","Non-managers",10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","5%-15% less efficient","Non-managers",-10
"endline","5%-15% more efficient","Managers",10
"baseline","About the same","Managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","5%-15% more efficient","Non-managers",10
"endline","5%-15% more efficient","Non-managers",10
"baseline","25%-35% more efficient","Non-managers",30.0000019073486
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","25%-35% more efficient","Non-managers",30.0000019073486
"endline","15%-25% more efficient","Non-managers",20
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Managers",0
"endline","About the same","Non-managers",0
"endline","5%-15% more efficient","Managers",10
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Managers",0
"baseline","5%-15% less efficient","Managers",-10
"endline","5%-15% more efficient","Managers",10
"baseline","5%-15% more efficient","Managers",10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Managers",0
"endline","25%-35% less efficient","Managers",-30.0000019073486
"baseline","25%-35% less efficient","Managers",-30.0000019073486
"endline","About the same","Managers",0
"endline","5%-15% more efficient","Non-managers",10
"baseline","5%-15% more efficient","Non-managers",10
"endline","5%-15% more efficient","Non-managers",10
"endline","About the same","Managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Managers",0
"endline","5%-15% less efficient","Managers",-10
"baseline","15%-25% less efficient","Managers",-20
"endline","15%-25% less efficient","Non-managers",-20
"endline","5%-15% less efficient","Non-managers",-10
"baseline","5%-15% less efficient","Non-managers",-10
"endline","5%-15% less efficient","Non-managers",-10
"endline","About the same","Non-managers",0
"endline","5%-15% more efficient","Non-managers",10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","5%-15% less efficient","Non-managers",-10
"endline","5%-15% more efficient","Non-managers",10
"endline","About the same","Managers",0
"baseline","15%-25% less efficient","Managers",-20
"endline","15%-25% less efficient","Managers",-20
"endline","15%-25% more efficient","Non-managers",20
"baseline","About the same","Non-managers",0
"endline","25%-35% less efficient","Non-managers",-30.0000019073486
"endline","About the same","Non-managers",0
"baseline","5%-15% more efficient","Non-managers",10
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","25%-35% less efficient","Non-managers",-30.0000019073486
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Managers",0
"endline","About the same","Non-managers",0
"endline","5%-15% more efficient","Non-managers",10
"baseline","15%-25% less efficient","Managers",-20
"endline","About the same","Managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","5%-15% less efficient","Managers",-10
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","5%-15% more efficient","Non-managers",10
"endline","About the same","Non-managers",0
"endline","5%-15% less efficient","Non-managers",-10
"baseline","15%-25% more efficient","Managers",20
"endline","35%+ more efficient","Managers",42.5
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","5%-15% less efficient","Non-managers",-10
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"endline","5%-15% more efficient","Non-managers",10
"baseline","5%-15% less efficient","Non-managers",-10
"endline","About the same","Non-managers",0
"endline","5%-15% less efficient","Managers",-10
"endline","About the same","Managers",0
"baseline","5%-15% less efficient","Managers",-10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","5%-15% more efficient","Non-managers",10
"endline","About the same","Managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","5%-15% less efficient","Non-managers",-10
"endline","5%-15% less efficient","Non-managers",-10
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","15%-25% more efficient","Non-managers",20
"baseline","25%-35% more efficient","Non-managers",30.0000019073486
"baseline","About the same","Non-managers",0
"endline","5%-15% more efficient","Non-managers",10
"baseline","5%-15% less efficient","Non-managers",-10
"endline","About the same","Non-managers",0
"baseline","5%-15% more efficient","Non-managers",10
"endline","About the same","Non-managers",0
"baseline","5%-15% less efficient","Managers",-10
"endline","About the same","Non-managers",0
"endline","5%-15% less efficient","Managers",-10
"baseline","About the same","Managers",0
"endline","About the same","Non-managers",0
"endline","15%-25% more efficient","Managers",20
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","5%-15% less efficient","Managers",-10
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Managers",0
"endline","About the same","Non-managers",0
"endline","15%-25% more efficient","Non-managers",20
"baseline","25%-35% more efficient","Non-managers",30.0000019073486
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","35%+ less efficient","Non-managers",-42.5
"endline","About the same","Managers",0
"endline","About the same","Managers",0
"baseline","About the same","Managers",0
"endline","About the same","Managers",0
"baseline","5%-15% less efficient","Managers",-10
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","5%-15% more efficient","Non-managers",10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","15%-25% more efficient","Non-managers",20
"baseline","35%+ more efficient","Non-managers",42.5
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","15%-25% more efficient","Non-managers",20
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
"endline","About the same","Non-managers",0
"baseline","5%-15% more efficient","Non-managers",10
"endline","About the same","Non-managers",0
"baseline","About the same","Non-managers",0
